substrate identification,substrate name,substrate class in database,pH,carbon,nitrogen,sugar,fat,protein,lignin,dry matter,organic matter,state,pretreatment,pretreatment type,chemical oxygen demand (COD),Methane yield,Methane yield2,organic loading,organic loading3,experimental scale,reactor liquid volume,reactor gas volume,reactor liquid-to-gas ratio,configuration,buffer type used,buffer type final concentration,enzyme addition to reactor,enzyme brand,microorganisms addition to reactor,microorganism brand,mixing in reactor,rotation velocity,biomass preadaptation to substrates,duration of preadaptation,biomass dilution in reactor,biomass dilution factor,biomass preincubation,preincubation time,particle size of substrate decrease before addition to reactor,particle size of substrate before decrease,particle size of biomass decrease before addition to reactor,biomass dry matter,biomass organic matter,biomass organic matter4,biomass pH,biomass volatile organic acids (VOA),biomass total organic carbon (TOC),VOA/TOC,total nitrogen,ammonium nitrogen,ammonia,chemical oxygen demand (COD)5,temperature range,experimental temperature of anaerobic digestion,additional factor 1,additional factor 2,dry matter6,organic matter7,organic matter8,pH9,volatile organic acids (VOA),total organic carbon (TOC),VOA/TOC10,total nitrogen11,ammonium nitrogen12,ammonia13,chemical oxygen demand (COD)14,additional factor 115,additional factor 216,reference for citation
Paper pulp and mill sludge,Mill 1 mech,industrial,,,,,,,,1.3,,liquid,no,,,138,,3.2,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 2 sulphite,industrial,,,,,,,,0.9,,liquid,no,,,159,,4.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 4.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 2 sulphite,industrial,,,,,,,,2,,liquid,no,,,176,,12.2,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 12.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 3 Kraft,industrial,,,,,,,,0.6,,liquid,no,,,145,,3.4,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3.4 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 3,industrial,6.1,,,,,,,5.6,,liquid,no,,,188,,18.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 18.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 3,industrial,6.1,,,,,,,11.6,,liquid,no,,,182,,14.7,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 14.7 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 3,industrial,6.1,,,,,,,3.8,,liquid,yes,physical,,175,,12.4,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 12.4 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 3,industrial,6.1,,,,,,,3.8,,liquid,yes,physical,,173,,12.4,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 12.4 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 4 CTMP/Kraft,industrial,,,,,,,,1.1,,liquid,no,,,97,,6.7,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 6.7 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5 Kraft/CTMP,industrial,,,,,,,,0.7,,liquid,no,,,167,,3.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
