Comp_ID,Smiles,Name,Family,Formula,MW,FP exp. (K),dnAB,dnCCDB2,dnQC,g-CH3,g-CH2-(linear),g-O-(ring),g>C=Oring,g-COO-(linear) ester,g-CH- (linear),g-CH=(lineal),g-CH= (ring),g-CH- (ring),g-CH2-(ring),dnOHprim,dnOHsec,dnOHter,Modularity
1,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",Alcohols,C6H14O6,182.17,422,0,0,0,0,2,0,0,0,4,0,0,0,0,2,4,0,0.46875
2,OCC[C@H](O)CO,"(2S)-butane-1,2,4-triol",Alcohols,C4H10O3,106.12,385,0,0,0,0,3,0,0,0,1,0,0,0,0,2,1,0,0.319444444
3,OC/C=C\CO,"(2Z)-but-2-ene-1,4-diol",Alcohols,C4H8O2,88.1,401.15,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0.291666667
4,CCCCC(CC)(CO)CO,"2-butyl-2-ethylpropane-1,3-diol",Alcohols,C9H20O2,160.25,386,0,0,1,2,6,0,0,0,0,0,0,0,0,2,0,0,0.399305556
5,CCCCCCC(CO)CCCC,2-butyloctan-1-ol,Alcohols,C12H26O,186.33,382.15,0,0,0,2,9,0,0,0,1,0,0,0,0,1,0,0,0.473333333
6,CCC(C)CO,2-methylbutan-1-ol,Alcohols,C5H12O,88.15,316.15,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0.26
7,CCC(C)(C)O,2-methylbutan-2-ol,Alcohols,C5H12O,88.15,294,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0.255102041
8,CCCC(C)CO,2-methylpentan-1-ol,Alcohols,C6H14O,102.17,319,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0.319444444
9,CC(O)CC(C)(C)O,"2-methylpentane-2,4-diol",Alcohols,C6H14O2,118.17,366,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,1,0.375
10,OCC(C)C,2-methylpropan-1-ol,Alcohols,C4H10O,74.12,301,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0.255102041
11,CC(C)(C)O,2-methylpropan-2-ol,Alcohols,C4H10O,74.12,284.26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0.138888889
12,OCC(CO)(CO)CO,"2,2-bis(hydroxymethyl)propane-1,3-diol",Alcohols,C5H12O4,136.15,533.15,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0.328125
13,CCC(CC)(CO)CO,"2,2-diethylpropane-1,3-diol",Alcohols,C7H16O2,132.2,374.15,0,0,1,2,4,0,0,0,0,0,0,0,0,2,0,0,0.328125
14,OCC(C)(C)CO,"2,2-dimethylpropane-1,3-diol",Alcohols,C5H12O2,104.15,371.15,0,0,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0.302469136
15,OCC(C)(C)CC(C)C,"2,2,4-trimethylpentan-1-ol",Alcohols,C8H18O,130.23,329.75,0,0,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0.37654321
16,OCC(C)(C)C(O)C(C)C,"2,2,4-trimethylpentane-1,3-diol",Alcohols,C8H18O2,146.23,383.15,0,0,1,4,1,0,0,0,2,0,0,0,0,1,1,0,0.395
17,OCC(C)C(C)C(C)C,"2,3,4-trimethylpentan-1-ol",Alcohols,C8H18O,130.23,333,0,0,0,4,1,0,0,0,3,0,0,0,0,1,0,0,0.388888889
18,OCC(C)CC(C)(C)C,"2,4,4-trimethylpentan-1-ol",Alcohols,C8H18O,130.23,333.15,0,0,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0.37654321
19,OCCC(C)C,3-methylbutan-1-ol,Alcohols,C5H12O,88.15,316,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0.3359375
20,CC(O)C(C)C,3-methylbutan-2-ol,Alcohols,C5H12O,88.15,299.15,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0.3359375
