Zeolite ID,Temp (°C),Conv. (%),Hetero Sel. (%),Crack Sel. (%),iC4​/nC4​,C3​/C7​,Cell Param (nm),Cryst. (%),Acid Cont. (μmol/g),Tot. Acid B/L,Med-Str Acid B/L,Acid Str.,Si/Al (mol),Tot. Area (m2/g),Micro Area (m2/g),Meso Area (m2/g),Tot. Vol (cm3/g),Micro Vol (cm3/g),Meso Vol (cm3/g)
Y1,310,9.6,20.6,79.4,2.3,1.9,2.4654,88.3,1407.5,10.6,13.7,261,2.4,681,657,23,0.377,0.304,0.073
Y1,330,18.2,13.6,86.4,2,2.4,2.4654,88.3,1407.5,10.6,13.7,261,2.4,681,657,23,0.377,0.304,0.073
Y1,350,32.9,8,92,1.8,3.1,2.4654,88.3,1407.5,10.6,13.7,261,2.4,681,657,23,0.377,0.304,0.073
Y1,370,45.9,5.5,94.5,1.7,3.9,2.4654,88.3,1407.5,10.6,13.7,261,2.4,681,657,23,0.377,0.304,0.073
Y2,310,10.1,18,82,2.3,2,2.4614,89.5,1554.5,4.5,5.8,326.1,2.4,680,657,23,0.365,0.304,0.061
Y2,330,17,14.3,85.7,2,2.3,2.4614,89.5,1554.5,4.5,5.8,326.1,2.4,680,657,23,0.365,0.304,0.061
Y2,350,25.7,10.6,89.4,1.8,2.8,2.4614,89.5,1554.5,4.5,5.8,326.1,2.4,680,657,23,0.365,0.304,0.061
Y2,370,37.2,7.1,92.9,1.7,3.7,2.4614,89.5,1554.5,4.5,5.8,326.1,2.4,680,657,23,0.365,0.304,0.061
Y3,310,7.8,19.3,80.7,2.3,1.8,2.4395,76.6,1027.6,16.4,24.4,367.5,5.5,674,619,55,0.418,0.285,0.132
Y3,330,13.5,14.2,85.8,2,2.3,2.4395,76.6,1027.6,16.4,24.4,367.5,5.5,674,619,55,0.418,0.285,0.132
Y3,350,22.6,9.7,90.3,1.8,2.8,2.4395,76.6,1027.6,16.4,24.4,367.5,5.5,674,619,55,0.418,0.285,0.132
