FEED (F),N1,N2,NF1,NF2,RR1,RR2,BF1,BF2,Y
2648.5294,23,49,15,32,2.07995156,0.818881247,0.834025746,0.125838937,2208.941709
2721.86502,25,81,12,48,3.72444007,1.6694,0.852011871,0.19201429,2319.061308
2696.49778,33,92,15,39,2.89159095,2.54224462,0.609871796,0.126840395,1644.517944
2187.07408,25,48,9,21,3.37450973,2.67465223,0.727839016,0.030097543,1591.837846
2370.66917,15,94,12,15,0.727698504,3.09878358,0.554848635,0.089258247,1315.362553
1668.31111,29,44,16,32,4.58844763,0.253407601,0.639944746,0.186833191,1067.62693
1956.43936,29,64,17,22,2.92988978,0.885429185,0.887441765,0.081291118,1736.225999
1790.8675,30,31,12,22,4.23774061,1.16307341,0.733721894,0.146000998,1313.998694
2193.81338,25,39,16,37,2.55634691,0.339032797,0.581620233,0.263594467,1275.966249
2735.43968,30,46,12,44,0.733955598,3.55920458,0.574599797,0.131641505,1571.783085
2957.67324,19,39,17,28,1.66628142,2.34299923,0.554561098,0.233961947,1640.210519
3100.21331,14,96,12,48,3.9106786,1.776054,0.732112994,0.053021691,2269.706448
1899.89845,24,52,8,50,4.47077174,0.68464028,0.850744796,0.285535102,1616.328719
1984.30112,28,74,5,22,3.23090275,2.14936066,0.880125436,0.266467244,1746.433888
2131.26626,17,87,6,36,3.38378522,2.89107687,0.853025533,0.081477974,1818.024537
2125.64231,22,44,17,29,3.90341993,3.36626116,0.853237089,0.080212646,1813.676857
1773.63666,22,41,6,31,2.91162836,0.537400442,0.867035424,0.02866206,1537.805814
3356.69054,16,93,12,36,0.438782002,0.767471988,0.750674398,0.192919411,2519.78165
2596.76588,24,44,11,25,3.86365691,2.07573732,0.555035812,0.027227951,1441.298059
1960.65559,30,91,14,50,3.24576655,0.189152579,0.8406679,0.060688966,1648.260217
1597.8432,30,76,5,42,2.82115727,1.88778684,0.716466136,0.082293996,1144.800543
1638.19678,28,73,4,33,0.303737613,1.00390025,0.747308556,0.230778128,1224.23847
1590.85627,30,56,12,22,0.767225262,0.352308551,0.753934203,0.135197344,1199.400954
3094.97737,29,72,7,37,3.16869648,1.69789325,0.735065128,0.168745522,2275.009937
1932.3877,19,79,10,15,1.82456327,4.20232132,0.629481232,0.028382917,1216.40179
2095.49607,31,66,15,27,1.10168775,4.4088331,0.679958742,0.036100307,1424.850872
3299.80303,23,32,15,17,4.01867865,3.28953677,0.630811284,0.114313256,2081.552986
1765.59547,30,87,6,36,0.756920039,3.76249257,0.612123031,0.03675465,1080.761651
1630.89644,27,78,14,44,3.96711019,1.95145016,0.675665097,0.186639863,1101.939801
3339.07113,18,65,15,47,0.541345771,2.29416966,0.553679811,0.265853623,1848.776272
1835.26719,28,30,7,21,1.56229916,3.90294497,0.659967505,0.061457137,1211.216708
3043.42274,22,52,7,37,0.978050869,0.488861558,0.556878888,0.052292555,1694.817871
2850.41021,29,73,5,21,2.21233717,0.800175532,0.850400317,0.162296561,2423.989746
2759.19842,20,82,14,29,3.30188709,2.47518356,0.842959166,0.147434725,2325.891599
2622.74515,30,97,10,28,0.310798123,2.1649281,0.922355054,0.197825042,2419.102244
1929.5307,22,33,9,25,0.863295026,4.40507174,0.628439863,0.093111485,1212.594009
2235.08458,30,80,4,48,2.56304332,1.20950679,0.702534006,0.09516259,1570.222924
2448.19121,25,98,13,48,3.68521423,1.07511847,0.706818378,0.155455339,1730.42654
3397.86466,30,53,13,37,1.37016207,0.779415694,0.610249549,0.217978315,2073.545376
2253.40661,32,82,9,46,2.94405167,4.178318,0.684541526,0.143789624,1542.5504
