QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
261.086861,406.990815,104.347078,380.447743,1930.99472,277.977819,439.426188
310.544079,549.596328,164.043225,522.07043,1872.57964,444.882342,404.326821
565.764767,455.144304,379.40587,447.26899,1435.96785,208.381168,1052.20989
367.927469,570.503974,226.477867,565.94798,1543.90853,47.9368839,595.356381
343.330017,420.139023,175.22907,417.114383,1198.08292,117.419505,1055.27372
416.045649,104.215884,296.842865,101.81346,867.520818,199.301881,601.364516
159.752983,371.268281,69.5758351,358.254742,1595.10077,141.138619,220.178138
331.602775,241.468027,215.811668,226.846577,1122.18234,191.859692,476.86794
463.165365,112.758115,297.556157,117.73665,939.813373,336.423187,917.83908
399.018194,570.464787,186.721986,580.724081,1366.04348,206.95599,1162.37858
555.254882,365.852852,330.091067,368.635684,1257.80315,383.540229,1316.24209
550.123735,645.843667,331.022083,650.112136,2154.64073,120.767366,824.785505
226.789386,236.461194,118.963836,210.064354,1154.83873,461.596474,283.592509
178.964151,466.232062,79.9551829,431.112164,1280.66825,465.51389,238.297354
230.651233,744.852053,116.299751,723.989533,1669.87511,148.125429,313.363805
235.160045,836.928777,117.83393,825.445843,1668.19278,145.481687,312.014305
167.914155,266.809266,71.5259552,250.101634,1493.69608,44.0682432,235.759828
314.012721,395.933127,102.831772,370.841248,2033.81257,486.179512,836.544822
718.012652,358.604569,527.406734,355.922353,1402.06219,39.2530617,1155.22897
214.614771,215.093436,104.131573,198.754325,1548.24414,100.000907,312.395397
253.101445,313.513278,146.569272,309.256811,1050.26272,94.1902159,453.518275
148.418959,203.296138,48.1965195,189.805067,941.490168,282.672367,413.953164
158.257348,152.096793,59.6974629,140.797768,1036.96644,162.064,391.777991
498.58519,518.934442,302.308013,499.741712,1890.98757,383.819867,819.973497
316.979519,604.749077,182.343846,604.889425,1181.80795,34.5998268,715.974195
262.85562,735.245616,124.094706,727.445627,1373.44687,51.3724471,670.683713
776.310443,760.844153,515.241587,778.615658,1844.09341,237.878046,1218.21979
235.26823,454.792921,109.344308,454.850256,1040.35846,39.6970586,685.393599
345.410641,263.689756,221.946092,261.326801,896.681084,205.782351,528.290417
485.637063,392.352856,219.227597,403.375793,1357.24554,491.391243,1490.397
275.218673,554.489677,138.326668,561.486187,1135.46047,74.3480892,625.574089
469.590489,212.232188,251.308691,221.48589,1606.18151,88.6219694,1348.58132
263.760655,418.950912,106.164048,385.064693,2030.47489,393.384585,426.425134
313.638956,750.983625,161.384562,728.967123,1982.49421,342.89074,433.959137
141.020721,749.183053,21.8345565,710.511987,1940.9473,478.951744,203.091888
256.479605,537.37258,122.151966,532.726146,1099.6082,112.958096,716.881445
351.740893,321.591271,200.134652,315.746661,1421.58832,149.49524,663.899261
453.475795,313.101786,286.98048,305.540127,1461.52724,269.085038,717.340822
528.444982,266.247919,287.297978,254.717535,1621.80084,452.096708,1324.27921
397.065049,665.015919,248.140758,655.549867,1320.69479,221.800586,710.931174
253.026401,720.50739,80.8136589,701.11691,2227.48021,139.00052,561.040146
573.074874,280.762625,400.48406,273.367092,1500.07382,67.1517022,945.7277
550.21793,1028.8288,342.069839,1018.87671,2139.3537,159.067683,919.587764
230.293984,624.145559,80.3516448,595.82573,1568.66803,582.627135,411.695704
654.371797,857.257284,434.197103,860.659206,1951.05277,77.542328,1151.11204
380.146321,301.585282,196.678926,300.258267,1252.66322,298.694064,927.876324
254.800929,396.319581,88.532454,353.199047,1957.13641,718.793261,407.494736
94.2315502,237.820615,19.8285901,210.34368,993.565283,366.862743,170.202069
